1502155500,4.65
1502155800,1.70
1502156100,2.59
1502156400,3.61
1502156700,5.55
1502157000,2.15
1502157300,1.85
1502157600,3.40
1502157900,4.92
1502158200,4.78
1502158500,3.10
1502158800,4.15
1502159100,0.18
1502159400,3.61
1502159700,4.37
1502160000,3.07
1502160300,5.01
1502160600,3.85
1502160900,3.99
1502161200,2.21
1502161500,5.40
1502161800,2.62
1502162100,4.10
1502162400,3.32
1502162700,4.31
1502163000,4.84
1502163300,3.99
1502163600,4.25
1502163900,3.83
1502164200,5.12
1502164500,3.85
1502164800,3.10
1502165100,3.78
1502165400,3.13
1502165700,3.24
1502166000,2.98
1502166300,5.62
1502166600,3.20
1502166900,5.40
1502167200,3.73
1502167500,3.17
1502167800,5.36
1502168100,5.54
1502168400,3.43
1502168700,0.57
1502169000,4.41
1502169300,3.35
1502169600,3.30
1502169900,5.34
1502170200,3.38
1502170500,4.83
1502170800,4.60
1502171100,4.74
1502171400,3.21
1502171700,3.23
1502172000,7.51
1502172300,5.45
1502172600,5.26
1502172900,7.04
1502173200,6.83
1502173500,11.96
1502173800,7.16
1502174100,17.21
1502174400,15.20
1502174700,12.48
1502175000,15.32
1502175300,21.61
1502175600,11.25
1502175900,10.09
1502176200,13.11
1502176500,18.36
1502176800,17.48
1502177100,16.50
1502177400,36.57
1502177700,44.65
1502178000,47.06
1502178300,42.42
1502178600,40.84
1502178900,54.87
1502179200,25.44
1502179500,15.10
1502179800,38.87
1502180100,15.83
1502180400,9.26
1502180700,4.63
1502181000,3.21
1502181300,4.24
1502181600,5.14
1502181900,4.43
1502182200,10.24
1502182500,14.22
1502182800,47.99
1502183100,78.35
1502183400,51.57
1502183700,133.94
1502184000,75.84
1502184300,50.37
1502184600,26.24
1502184900,38.56
1502185200,23.32
1502185500,39.56
1502185800,22.01
1502186100,24.53
1502186400,28.61
1502186700,36.99
1502187000,31.64
1502187300,23.10
1502187600,16.27
1502187900,13.99
1502188200,28.21
1502188500,11.34
1502188800,7.12
1502189100,11.32
1502189400,20.61
1502189700,12.32
1502190000,24.68
1502190300,16.06
1502190600,27.08
1502190900,40.28
1502191200,87.49
1502191500,61.80
1502191800,176.59
1502192100,177.44
1502192400,177.01
1502192700,164.28
1502193000,158.53
1502193300,157.61
1502193600,164.92
1502193900,173.06
1502194200,160.47
1502194500,169.66
1502194800,158.78
1502195100,153.16
1502195400,162.66
1502195700,162.15
1502196000,125.73
1502196300,125.74
1502196600,171.31
1502196900,149.36
1502197200,59.20
1502197500,47.48
1502197800,55.83
1502198100,48.71
1502198400,34.94
1502198700,36.30
1502199000,32.26
1502199300,32.60
1502199600,33.06
1502199900,40.14
1502200200,33.10
1502200500,37.67
1502200800,69.49
1502201100,66.84
1502201400,46.95
1502201700,73.60
1502202000,45.70
1502202300,49.58
1502202600,60.89
1502202900,58.94
1502203200,52.53
1502203500,51.74
1502203800,63.10
1502204100,67.80
1502204400,123.31
1502204700,109.74
1502205000,114.07
1502205300,109.24
1502205600,107.82
1502205900,103.05
1502206200,57.18
1502206500,95.91
1502206800,48.07
1502207100,75.00
1502207400,53.20
1502207700,44.59
1502208000,91.62
1502208300,57.37
1502208600,42.26
1502208900,41.98
1502209200,37.64
1502209500,30.16
1502209800,28.27
1502210100,16.93
1502210400,55.43
1502210700,39.29
1502211000,31.22
1502211300,31.06
1502211600,47.50
1502211900,37.71
1502212200,29.07
1502212500,20.39
1502212800,14.92
1502213100,12.97
1502213400,10.93
1502213700,12.21
1502214000,8.96
1502214300,10.78
1502214600,10.75
1502214900,7.30
1502215200,10.66
1502215500,6.00
1502217300,3.76
1502217600,3.30
1502217900,3.39
1502218200,0.47
1502218500,2.81
1502218800,3.81
1502219100,4.28
1502219400,3.10
1502219700,4.32
1502220000,5.81
1502220300,1.71
1502220600,2.78
1502220900,2.90
1502221200,5.00
1502221500,1.08
1502221800,3.53
1502222100,2.74
1502222400,4.17
1502222700,3.44
1502223000,5.14
1502223300,4.91
1502223600,4.29
1502223900,3.10
1502224200,3.85
1502224500,2.05
1502224800,4.73
1502225100,4.73
1502225400,3.05
1502225700,3.12
1502226000,3.71
1502226300,2.53
1502226600,3.65
1502226900,3.18
1502227200,3.28
1502227500,4.52
1502227800,2.27
1502228100,2.11
1502228400,4.44
1502228700,2.38
1502229000,3.78
1502229300,5.77
1502229600,3.65
1502229900,4.30
